restaurant_name,location,cuisines,cost_for_two,rating,cuisine_tags,quality_score
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",,,"North Indian,Mughlai,Chinese",1
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",,,"Chinese,North Indian,Thai",1
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",,,"Cafe,Mexican,Italian",1
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",,,"South Indian,North Indian",1
Grand Village,Basavanagudi,"North Indian, Rajasthani",,,"North Indian,Rajasthani",1
Timepass Dinner,Basavanagudi,North Indian,,,North Indian,1
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",,,"North Indian,South Indian,Andhra,Chinese",1
Onesta,Banashankari,"Pizza, Cafe, Italian",,,"Pizza,Cafe,Italian",1
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",,,"Cafe,Italian,Continental",1
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",,,"Cafe,Mexican,Italian,Momos,Beverages",1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,,,Cafe,1
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",,,"Cafe,Italian,Continental",1
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",,,"Cafe,Chinese,Continental,Italian",1
Caf-Eleven,Banashankari,"Cafe, Continental",,,"Cafe,Continental",1
Cafe Vivacity,Banashankari,Cafe,,,Cafe,1
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",,,"Cafe,Fast Food,Continental,Chinese,Momos",1
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",,,"Chinese,Cafe,Italian",1
T3H Cafe,Banashankari,"Cafe, Italian, American",,,"Cafe,Italian,American",1
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",,,"Cafe,Chinese,Continental,Italian",1
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",,,"Cafe,French,North Indian",1
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",,,"Cafe,Pizza,Fast Food,Beverages",1
Cafe Coffee Day,Banashankari,"Cafe, Fast Food",,,"Cafe,Fast Food",1
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",,,"Italian,Fast Food,Cafe,European",1
Hide Out Cafe,Banashankari,Cafe,,,Cafe,1
CAFE NOVA,Banashankari,"Cafe, Bakery",,,"Cafe,Bakery",1
Coffee Tindi,Banashankari,"Cafe, South Indian",,,"Cafe,South Indian",1
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",,,"Cafe,Fast Food,Beverages",1
Cuppa,Banashankari,"Cafe, Fast Food",,,"Cafe,Fast Food",1
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",,,"North Indian,Cafe,Chinese,Fast Food",1
Redberrys,Basavanagudi,"Cafe, Italian",,,"Cafe,Italian",1
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",,,"North Indian,Fast Food,Chinese,Burger",1
Sweet Truth,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Ovenstory Pizza,Banashankari,Pizza,,,Pizza,1
Faasos,Banashankari,"North Indian, Biryani, Fast Food",,,"North Indian,Biryani,Fast Food",1
Behrouz Biryani,Banashankari,Biryani,,,Biryani,1
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",,,"North Indian,Chinese,Fast Food",1
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",,,"Chinese,Thai,Momos",1
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",,,"North Indian,Mughlai,South Indian,Chinese",1
Maruthi Davangere Benne Dosa,Banashankari,South Indian,,,South Indian,1
Chaatimes,Basavanagudi,"Street Food, Fast Food",,,"Street Food,Fast Food",1
Havyaka Mess,Banashankari,South Indian,,,South Indian,1
McDonald's,Banashankari,"Burger, Fast Food",,,"Burger,Fast Food",1
Domino's Pizza,Banashankari,"Pizza, Fast Food",,,"Pizza,Fast Food",1
Hotboxit,Banashankari,"North Indian, Continental, Italian",,,"North Indian,Continental,Italian",1
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",,,"North Indian,Chinese",1
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",,,"North Indian,Chinese,Biryani,Rolls",1
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",,,"Chinese,Thai",1
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",,,"North Indian,Chinese,Momos,Rolls",1
Petoo,Banashankari,North Indian,,,North Indian,1
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",,,"Fast Food,Street Food,Beverages",1
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",,,"Biryani,North Indian,Chinese,Andhra,South Indian",1
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",,,"Italian,Continental,Fast Food,Chinese,Momos",1
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",,,"Healthy Food,Chinese,Biryani,North Indian,Continental,Salad,American,Burger",1
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",,,"Biryani,Fast Food",1
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",,,"Asian,Korean,Indonesian,Japanese,Chinese,Thai,Momos",1
Five Star Chicken,Banashankari,"Fast Food, Burger",,,"Fast Food,Burger",1
XO Belgian Waffle,Banashankari,"Desserts, Beverages",,,"Desserts,Beverages",1
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",,,"Italian,North Indian,Mexican",1
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",,,"Goan,Seafood,North Indian,Chinese,Biryani",1
Chinese Kitchen,Basavanagudi,Chinese,,,Chinese,1
1947,Banashankari,"North Indian, Chinese",,,"North Indian,Chinese",1
Cake of the Day,Banashankari,Bakery,,,Bakery,1
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",,,"North Indian,Kebab,Chinese,Fast Food",1
Namma Brahmin's Idli,Jayanagar,South Indian,,,South Indian,1
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",,,"Continental,Italian,Mexican,North Indian,Chinese,Steak",1
Sugar Rush,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",,,"Burger,Fast Food,Beverages",1
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",,,"Italian,North Indian,Biryani",1
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",,,"Biryani,Chinese,Kebab",1
Spicy Tandoor,Banashankari,North Indian,,,North Indian,1
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",,,"Chinese,Continental,Italian,North Indian",1
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",,,"Fast Food,Rolls,Momos",1
Om Sri Vinayaka Chats,Banashankari,"Street Food, Fast Food",,,"Street Food,Fast Food",1
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,,,South Indian,1
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",,,"Biryani,South Indian",1
Kolbeh,Banashankari,Fast Food,,,Fast Food,1
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",,,"South Indian,Chinese,North Indian",1
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",,,"Seafood,North Indian,Chinese,Andhra,Biryani,Kebab",1
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",,,"Beverages,Desserts,Ice Cream",1
Parimala Sweets,Banashankari,"Mithai, Street Food",,,"Mithai,Street Food",1
Vaishali Deluxe,Banashankari,"North Indian, Chinese",,,"North Indian,Chinese",1
Chill Out,Banashankari,"South Indian, Chinese",,,"South Indian,Chinese",1
The Big O Bakes,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
